Substrate,Products,Kinetic Law,Modifiers,Parameters
totalinactiveIKK,totalActiveIKK,sumThings,IKKpC IKKp IKKppC IKKpp IKK_on,k1_TLRIKKscaling
totalActiveIKK,totalinactiveIKK,Mass Action Deg,,k1_IKKdeg
IkBa,,Mass Action Mod,totalActiveIKK,k1_IkBaDegIKK
IkBb,,Mass Action Mod,totalActiveIKK,k1_IkBbDegIKK
IkBe,,Mass Action Mod,totalActiveIKK,k1_IkBeDegIKK
IkBa,,Mass Action,,k1_IkBadeg
IkBb,,Mass Action,,k1_IkBbdeg
IkBe,,Mass Action,,k1_IkBedeg
RelAp50IkBa,RelAp50,Mass Action Mod,totalActiveIKK,k1_IkBaDegIKK
RelAp50IkBb,RelAp50,Mass Action Mod,totalActiveIKK,k1_IkBbDegIKK
RelAp50IkBe,RelAp50,Mass Action Mod,totalActiveIKK,k1_IkBeDegIKK
RelBp50IkBa,RelBp50,Mass Action Mod,totalActiveIKK,k1_IkBaDegIKK
RelBp50IkBb,RelBp50,Mass Action Mod,totalActiveIKK,k1_IkBbDegIKK
RelBp50IkBe,RelBp50,Mass Action Mod,totalActiveIKK,k1_IkBeDegIKK
RelBp52IkBa,RelBp52,Mass Action Mod,totalActiveIKK,k1_IkBaDegIKK
RelBp52IkBb,RelBp52,Mass Action Mod,totalActiveIKK,k1_IkBbDegIKK
RelBp52IkBe,RelBp52,Mass Action Mod,totalActiveIKK,k1_IkBeDegIKK
cRelp50IkBa,cRelp50,Mass Action Mod,totalActiveIKK,k1_IkBaDegIKK
cRelp50IkBb,cRelp50,Mass Action Mod,totalActiveIKK,k1_IkBbDegIKK
cRelp50IkBe,cRelp50,Mass Action Mod,totalActiveIKK,k1_IkBeDegIKK
cRelp52IkBa,cRelp52,Mass Action Mod,totalActiveIKK,k1_IkBaDegIKK
cRelp52IkBb,cRelp52,Mass Action Mod,totalActiveIKK,k1_IkBbDegIKK
cRelp52IkBe,cRelp52,Mass Action Mod,totalActiveIKK,k1_IkBeDegIKK
RelAp52IkBa,RelAp52,Mass Action Mod,totalActiveIKK,k1_IkBaDegIKK
RelAp52IkBb,RelAp52,Mass Action Mod,totalActiveIKK,k1_IkBbDegIKK
RelAp52IkBe,RelAp52,Mass Action Mod,totalActiveIKK,k1_IkBeDegIKK
RelAp50IkBa,RelAp50,Mass Action,,k1_IkBDeg
RelAp50IkBb,RelAp50,Mass Action,,k1_IkBDeg
RelAp50IkBe,RelAp50,Mass Action,,k1_IkBDeg
RelBp50IkBa,RelBp50,Mass Action,,k1_IkBDeg
RelBp50IkBb,RelBp50,Mass Action,,k1_IkBDeg
RelBp50IkBe,RelBp50,Mass Action,,k1_IkBDeg
RelBp52IkBa,RelBp52,Mass Action,,k1_IkBDeg
RelBp52IkBb,RelBp52,Mass Action,,k1_IkBDeg
RelBp52IkBe,RelBp52,Mass Action,,k1_IkBDeg
cRelp50IkBa,cRelp50,Mass Action,,k1_IkBDeg
cRelp50IkBb,cRelp50,Mass Action,,k1_IkBDeg
cRelp50IkBe,cRelp50,Mass Action,,k1_IkBDeg
cRelp52IkBa,cRelp52,Mass Action,,k1_IkBDeg
cRelp52IkBb,cRelp52,Mass Action,,k1_IkBDeg
cRelp52IkBe,cRelp52,Mass Action,,k1_IkBDeg
RelAp52IkBa,RelAp52,Mass Action,,k1_IkBDeg
RelAp52IkBb,RelAp52,Mass Action,,k1_IkBDeg
RelAp52IkBe,RelAp52,Mass Action,,k1_IkBDeg
