Sample Name,DB,DOHH2,FARAGE,GRANTA519,HAIR_M,HBL1,HC_1,JEKO1,JVM2,KARPAS1718,KARPAS422,MAVER1,MEC1,MINO,OCILY1,OCILY18,OCILY19,OCILY7,OCILY8,RCK8,REC1,RIVA,SP49,SP53,SSK41,SUDHL10,SUDHL16,SUDHL2,SUDHL4,SUDHL6,TMD8,TOLEDO,U2932,UPN1,VL51,WSU_DLCL2
ACTB,3.721510042,3.731282678,3.992162686,4.239916408,4.38415011,3.886199814,4.053658137,3.722103773,4.216737417,3.658912357,3.769507359,4.107336865,3.570964065,3.87590598,4.030252506,3.895932878,3.634525248,3.686656618,3.445659867,3.11457979,4.116670566,3.576722267,4.465154402,4.075823495,4.030239158,4.159190468,4.04135178,4.35929094,4.090376414,4.202903587,4.051815798,3.834865006,3.704160673,3.508003842,4.297291191,4.169085459
ATP5F1,2.786532322,2.458817934,2.634131418,2.412133333,2.768722667,2.740840441,2.790124837,2.707948884,2.628383666,2.429221572,2.833992172,2.655526278,2.622050267,2.554416016,2.676318618,2.614882024,2.532310765,2.58442191,2.295725076,2.21528165,2.709775315,2.583316515,2.738455829,2.602771297,2.784052243,2.880073715,2.632197315,2.635647285,2.812970578,2.926027779,2.557096411,2.528386639,2.814716489,2.476244243,2.813336481,2.761065266
DDX5,3.538237078,3.598961859,3.903486725,3.485055862,3.596004185,3.911813774,3.621738334,3.72744442,3.761440907,3.854496074,3.762757953,3.630068725,3.001619896,3.574092055,3.645922998,3.459759784,3.770837756,3.407736317,3.779177417,3.528708802,3.80879536,3.9134122,3.717252915,3.890654555,3.467073113,3.300720933,3.523485277,3.51967545,3.57846262,3.772883171,3.563117191,3.509300652,3.424695754,3.586542487,3.496736984,3.338680096
EEF1G,4.326239632,3.947335905,4.136647536,3.92991634,3.97343248,4.419594625,4.030902413,4.249551233,3.971158088,4.044867518,3.937100272,4.146217072,3.988310592,4.36192912,4.375392589,4.688532071,4.383924084,4.146241301,4.625642204,4.407142627,4.104534217,4.07919322,3.945396959,3.971404386,4.121548154,4.232078212,3.66130043,4.211751514,4.286960166,4.208079101,4.185910272,4.684632259,4.123567161,4.247956723,4.09338948,4.388793232
GAPDH,4.872713742,4.508410614,4.545849139,4.586514244,4.659086321,4.817841873,4.584744994,4.327611022,4.566567408,4.528846886,5.071620149,4.5856108,4.338780873,4.471862631,4.522010421,4.664444775,4.465513942,4.532333095,4.409241983,4.682951849,4.38964242,4.326311185,4.588887858,4.500903059,4.686259139,4.427302341,4.886472862,4.605232756,4.650869611,4.420595657,4.522835522,4.508996706,4.655534209,4.192677462,4.570513165,4.669479502
NCL,3.674831882,3.419828951,3.564448789,3.788764656,3.63328535,3.423654791,3.623479713,3.688020773,3.52665004,3.796564992,3.75986082,3.582821084,3.521030847,3.805542048,3.696178393,3.595198708,3.809722585,3.705339133,3.925050243,3.627593102,4.148365523,3.490898751,3.600861926,3.790208485,3.651906735,3.584520711,3.437768846,3.337537216,3.469777618,3.907500765,3.644454333,3.684997188,3.074004264,4.002832966,3.661095362,3.174663538
OAZ1,3.569149451,3.361829123,3.728237346,3.559841315,3.689264933,3.725252342,3.520772929,3.571528293,3.733240651,3.117074322,3.513334356,3.460466232,3.001472265,3.16715083,3.398041628,3.461762664,3.401672884,3.048958791,2.902205802,3.063935857,3.52499256,3.131652146,3.47322623,3.420451872,3.625470316,3.464112835,3.5880996,3.413264777,3.774025291,3.565398357,3.446292766,2.929746399,3.67608636,3.134976894,3.673719989,3.665842097
PPIA,3.137294575,2.777632162,2.805181305,3.084351625,2.564257046,2.33865585,2.81326005,3.28974031,2.687535278,3.250392992,2.517574134,2.62113347,3.036117934,3.117803091,2.994959043,2.935708412,3.04330235,2.978588068,3.147816069,2.711504246,2.711160365,3.28775567,2.86273126,2.983821867,2.888088564,2.912991716,2.605510572,2.662265773,3.064503726,2.939483373,2.76080803,2.694117836,2.882889307,3.154960676,2.412399643,3.186763494
RPL38,4.450731825,4.41391824,4.368073816,4.368886455,4.363298918,4.681270167,4.303255357,4.399264289,4.261388932,4.404608767,4.250636417,4.455079359,3.987868988,4.38570271,4.385197989,4.668236255,4.577507654,4.270102415,4.817346585,4.217432167,4.257691936,4.280455426,4.138702689,4.224025335,4.244660424,4.309391307,4.221132496,4.29418593,4.553615451,4.267152198,4.227284116,4.565341487,4.21069869,4.41121081,4.479361419,4.558568228
RPL6,3.877502045,3.7231216,3.676212785,3.791481059,3.454266084,3.911412093,3.776440663,3.505669272,3.598834964,3.64168277,3.904382698,3.789905156,3.469328385,3.980573203,4.019990354,3.98427206,3.890853664,3.620671414,3.874428831,3.452327269,3.718724162,3.738232485,3.594809944,3.660249078,3.602430812,3.737234926,3.424594684,3.507065988,4.031694886,3.995499211,3.550460808,3.666406857,3.762068432,3.56639965,3.752463581,3.896999522
