Sample Name,DB,DOHH2,FARAGE,HBL1,KARPAS422,OCILY1,OCILY18,OCILY19,OCILY7,OCILY8,RCK8,RIVA,SUDHL10,SUDHL16,SUDHL2,SUDHL4,SUDHL6,TMD8,TOLEDO,U2932,WSU_DLCL2
ACTB,3.721510042,3.731282678,3.992162686,3.886199814,3.769507359,4.030252506,3.895932878,3.634525248,3.686656618,3.445659867,3.11457979,3.576722267,4.159190468,4.04135178,4.35929094,4.090376414,4.202903587,4.051815798,3.834865006,3.704160673,4.169085459
ATP5F1,2.786532322,2.458817934,2.634131418,2.740840441,2.833992172,2.676318618,2.614882024,2.532310765,2.58442191,2.295725076,2.21528165,2.583316515,2.880073715,2.632197315,2.635647285,2.812970578,2.926027779,2.557096411,2.528386639,2.814716489,2.761065266
DDX5,3.538237078,3.598961859,3.903486725,3.911813774,3.762757953,3.645922998,3.459759784,3.770837756,3.407736317,3.779177417,3.528708802,3.9134122,3.300720933,3.523485277,3.51967545,3.57846262,3.772883171,3.563117191,3.509300652,3.424695754,3.338680096
EEF1G,4.326239632,3.947335905,4.136647536,4.419594625,3.937100272,4.375392589,4.688532071,4.383924084,4.146241301,4.625642204,4.407142627,4.07919322,4.232078212,3.66130043,4.211751514,4.286960166,4.208079101,4.185910272,4.684632259,4.123567161,4.388793232
GAPDH,4.872713742,4.508410614,4.545849139,4.817841873,5.071620149,4.522010421,4.664444775,4.465513942,4.532333095,4.409241983,4.682951849,4.326311185,4.427302341,4.886472862,4.605232756,4.650869611,4.420595657,4.522835522,4.508996706,4.655534209,4.669479502
NCL,3.674831882,3.419828951,3.564448789,3.423654791,3.75986082,3.696178393,3.595198708,3.809722585,3.705339133,3.925050243,3.627593102,3.490898751,3.584520711,3.437768846,3.337537216,3.469777618,3.907500765,3.644454333,3.684997188,3.074004264,3.174663538
OAZ1,3.569149451,3.361829123,3.728237346,3.725252342,3.513334356,3.398041628,3.461762664,3.401672884,3.048958791,2.902205802,3.063935857,3.131652146,3.464112835,3.5880996,3.413264777,3.774025291,3.565398357,3.446292766,2.929746399,3.67608636,3.665842097
PPIA,3.137294575,2.777632162,2.805181305,2.33865585,2.517574134,2.994959043,2.935708412,3.04330235,2.978588068,3.147816069,2.711504246,3.28775567,2.912991716,2.605510572,2.662265773,3.064503726,2.939483373,2.76080803,2.694117836,2.882889307,3.186763494
RPL38,4.450731825,4.41391824,4.368073816,4.681270167,4.250636417,4.385197989,4.668236255,4.577507654,4.270102415,4.817346585,4.217432167,4.280455426,4.309391307,4.221132496,4.29418593,4.553615451,4.267152198,4.227284116,4.565341487,4.21069869,4.558568228
RPL6,3.877502045,3.7231216,3.676212785,3.911412093,3.904382698,4.019990354,3.98427206,3.890853664,3.620671414,3.874428831,3.452327269,3.738232485,3.737234926,3.424594684,3.507065988,4.031694886,3.995499211,3.550460808,3.666406857,3.762068432,3.896999522
RPS7,4.163202963,4.217428835,4.172724456,4.242877356,4.088556261,4.416997369,4.355464215,4.188672531,4.135579681,4.48225349,4.289230645,3.974743548,4.082345521,4.015733923,4.165799048,4.353510861,4.24893922,3.982795666,3.959737428,3.89957,4.230569995
SLC25A3,3.838695633,3.441705923,3.579150782,3.660089677,3.62309918,3.547713205,3.531411227,3.416177156,3.51344851,3.461890139,3.871003793,3.369858595,3.521187248,3.474937075,3.405053082,3.577952368,3.688524157,3.565525811,3.632325507,3.483453538,3.382688998
SOD1,4.05781613,3.148048157,3.823594041,3.684862515,3.777155228,3.732712076,3.568562734,3.40809525,3.615737343,3.785803313,3.497678785,3.528049285,3.679091297,3.741004171,3.553040249,3.727239087,3.738449097,3.511399386,3.857376017,3.502639618,3.840282566
TBP,1.796754612,1.967733495,1.68453919,1.775513925,1.935510771,1.866664773,1.918814155,2.127071517,2.09011699,1.581432952,1.5728692,1.990758332,2.178089785,1.694198465,1.623412829,1.793800484,1.899387698,1.865679545,1.751052061,1.627067236,1.758352612
YWHAZ,3.758899249,3.580822067,3.836779992,3.822088715,3.557770858,3.933345469,3.513982055,3.457894993,3.689853658,3.526395338,3.642274375,3.557337673,3.667306683,3.929544935,3.561882955,3.65557275,3.738684874,3.481479347,3.636997499,3.588792479,3.798298209
A2M,1.017289307,1.54280499,1.965419373,1.651165663,1.660696158,1.292054832,1.21941858,1.099859905,2.1684778,0.580348571,1.406385368,1.104189278,2.168703617,1.021871569,1.895653737,1.202842965,0.757714004,1.824767954,1.630058319,1.987016168,1.901672699
ABCA2,1.040354611,0.899352313,0.560349884,1.024837097,0.873362864,1.315307292,1.202044484,2.152099523,1.471084184,0.611757035,1.94636194,1.739617171,0.913431112,0.582538876,1.451730688,1.495439793,0.603617039,1.30247649,2.271194753,1.688141485,0.897742405
ABCA3,1.089839974,1.953844411,0.731420341,1.160864806,0.766598097,0.940414843,0.754886453,1.662644533,1.356510963,1.369223686,1.690314946,0.64479679,1.306463786,1.05966013,1.117502486,1.088899613,0.939409141,1.237156883,1.951396692,1.412173893,0.949771405
